dot_number,usdot_number,entity_type,usdot_status,out_of_service_date,state_carrier_id_number,mcs_150_form_date,mcs_150_mileage_year,operating_authority_status,mc_mx_ff_numbers,duns_number,power_units,non_cmv_units,drivers,legal_name,dba_name,physical_address,phone,mailing_address,operation_classification,carrier_operation,cargo_carried,scraped_timestamp,response_url,response_status,success,retry_count,total_request_time
1000021,1000021,CARRIER,ACTIVE,None,,01/02/2025,"2,030 (2024)",NOT AUTHORIZED,,--,1,,1,LEITZA EXCAVATING,,"230236 COLONIAL ROAD WAUSAU, WI 54403",(715) 842-8252,"230236 COLONIAL ROAD WAUSAU, WI 54403",[object Object],[object Object],[object Object],2025-09-15 12:22:57,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1000021,200,true,,0.24863719940185547
1000022,1000022,CARRIER,ACTIVE,None,,02/09/2024,"5,000 (2023)",NOT AUTHORIZED,,--,2,,1,MACHINE TOOL & EQUIPMENT INC,,"145536 COUNTY ROAD U WAUSAU, WI 54401",(715) 675-6309,"145536 COUNTY ROAD U WAUSAU, WI 54401",[object Object],[object Object],[object Object],2025-09-15 12:23:10,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1000022,200,true,,0.2419588565826416
1000025,1000025,CARRIER,ACTIVE,None,,05/24/2022,500 (2021),NOT AUTHORIZED,,--,1,,1,ALEXANDER SOPHA,ALS AUTO SALVAGE,"W8416 BILKIE ROAD POYNETTE, WI 53955",(608) 635-2545,"W8416 BILKIE ROAD POYNETTE, WI 53955",[object Object],[object Object],[object Object],2025-09-15 12:23:23,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1000025,200,true,,0.2429947853088379
1000030,1000030,CARRIER,ACTIVE,None,,12/08/2023,"68,446 (2022)",NOT AUTHORIZED,,10-233-6794,7,,2,WEST RAIL CONSTRUCTION CO LLC,,"504 NE 192N AVE VANCOUVER, WA 98684",(360) 260-0668,"PO BOX 820626 VANCOUVER, WA 98682",[object Object],[object Object],[object Object],2025-09-15 12:23:36,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1000030,200,true,,0.24835920333862305
1000035,1000035,CARRIER,ACTIVE,None,,04/02/2025,"80,000 (2016)",NOT AUTHORIZED,,--,11,,5,SAYLOR LOGGING LLC,,"839 LEE ROAD 375 VALLEY, AL 36854",(334) 524-7364,"839 LEE ROAD 375 VALLEY, AL 36854",[object Object],[object Object],[object Object],2025-09-15 12:23:49,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1000035,200,true,,0.26072144508361816
1000050,1000050,CARRIER,ACTIVE,None,,,"72,000 (2001)",NOT AUTHORIZED,,--,1,,1,ROGER L BUNCH,,"108 ST CHARLES CT GLASGOW, KY 42141",(270) 651-3940,"108 ST CHARLES CT GLASGOW, KY 42141",[object Object],[object Object],[object Object],2025-09-15 12:24:01,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1000050,200,true,,0.2453315258026123
1000058,1000058,CARRIER,ACTIVE,None,,07/24/2025,"1,200,000 (2025)",NOT AUTHORIZED,,--,17,,19,BUTTERY COMPANY LLP,,"201 WEST MAIN LLANO, TX 78643",(800) 880-1515,"201 WEST MAIN LLANO, TX 78643",[object Object],[object Object],[object Object],2025-09-15 12:24:14,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1000058,200,true,,0.2663760185241699
1000061,1000061,CARRIER,ACTIVE,None,,09/19/2024,"8,000 (2024)",NOT AUTHORIZED,,--,1,,2,PREMIER WOODWORKING CONCEPTS LTD,PREMIER DESIGN GROUP LTD,"1016 RAIL DRIVE WOODSTOCK, IL 60098",(815) 334-0888,"1016 RAIL DRIVE WOODSTOCK, IL 60098",[object Object],[object Object],[object Object],2025-09-15 12:24:27,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1000061,200,true,,0.28191494941711426
1000062,1000062,CARRIER,ACTIVE,None,,07/04/2024,"45,873 (2023)",AUTHORIZED FOR Property,MC-1506511,--,1,,1,RICHARD ANTHONY HARMON,NURSERY EXPRESS,"21179 COUNTY ROAD 4106 LINDALE, TX 75771",(903) 530-9328,"PO BOX 2282 LINDALE, TX 75771",[object Object],[object Object],[object Object],2025-09-15 12:24:40,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1000062,200,true,,0.2684621810913086
1000066,1000066,CARRIER,ACTIVE,None,,10/28/2024,"400,000 (2023)",AUTHORIZED FOR Property,MC-589317,--,6,,6,PPX LOGISTICS INC,,"4130 MENNES AVE #12 JURUPA VALLEY, CA 92509",(951) 906-3601,"5762 JENSEN RANCH ROAD JURUPA VALLEY, CA 92509",[object Object],[object Object],[object Object],2025-09-15 12:24:52,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1000066,200,true,,0.2473757266998291
1000076,1000076,CARRIER,Inactive USDOT Number per 49 CFR 390.19(b)(4); Biennial update of MCS-150 data not completed,None,,06/02/2023,"12,000 (2017)",NOT AUTHORIZED,,--,1,,2,CONSTRUCTION AND MINING SERVICES,,"427 NORTH 2150 WEST SUITE 2 CEDAR CITY, UT 84721",(435) 867-4773,"427 NORTH 2150 WEST SUITE 2 CEDAR CITY, UT 84721-4118",[object Object],[object Object],[object Object],2025-09-15 12:25:05,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1000076,200,true,,0.25021886825561523
1000077,1000077,CARRIER,ACTIVE,None,,07/28/2025,"28,000 (2024)",AUTHORIZED FOR Property,MX-424283,--,3,,1,VICTORIANO DE LEON PADILLA,TRANSPORTES VICTORIANO DE LEON,"15 DE MAYO CARRANZA Y VICTORIA SN ALLENDE, NL 67350",(818) 020-7512,"501 N BRIDGE ST STE 566 HIDALGO, TX 78557",[object Object],[object Object],[object Object],2025-09-15 12:25:18,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1000077,200,true,,0.2508983612060547
1000078,1000078,CARRIER,ACTIVE,None,,08/21/2025,"10,000 (2024)",NOT AUTHORIZED,,--,1,,1,MPS PRINTERY INC,,"79 CLOVER AVE HOLLAND, MI 49423",(616) 396-4655,"79 CLOVER AVE HOLLAND, MI 49423",[object Object],[object Object],[object Object],2025-09-15 12:25:31,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1000078,200,true,,0.2636260986328125
1000079,1000079,CARRIER,ACTIVE,None,,07/28/2025,"1,086,113 (2024)",AUTHORIZED FOR Property,MC-420456,--,17,,17,TRANSPORT DERCY INC,,"235 181 EME RUE BEAUCEVILLE, PQ G5X 2S9",(418) 774-6524,"235 181 EME RUE BEAUCEVILLE, PQ G5X 2S9",[object Object],[object Object],[object Object],2025-09-15 12:25:43,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1000079,200,true,,0.25022268295288086
100008,100008,CARRIER,ACTIVE,None,,08/19/2024,"1,766 (2023)",NOT AUTHORIZED,,20-456-489,1,,1,HULLS 151 IMPLEMENT INC,,"N2928 W CENTER ROAD WAUPUN, WI 53963",(920) 324-5341,"732 FERN STREET WAUPUN, WI 53963",[object Object],[object Object],[object Object],2025-09-15 12:25:56,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=100008,200,true,,0.2546055316925049
1000080,1000080,CARRIER,ACTIVE,None,,10/31/2024,"3,000 (2024)",NOT AUTHORIZED,,--,1,,1,WITTUS INC,,"40 WESTCHESTER AVENUE POUND RIDGE, NY 10576",(914) 764-5679,"PO BOX 120 POUND RIDGE, NY 10576",[object Object],[object Object],[object Object],2025-09-15 12:26:09,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1000080,200,true,,0.2604248523712158
1000081,1000081,CARRIER,ACTIVE,None,,08/17/2019,"35,012 (2018)",NOT AUTHORIZED,,--,1,,1,JAMES RYDEN TRUCKING INC,,"5 JOHN VINCENT COURT CENTEREACH, NY 11720",(631) 698-3976,"5 JOHN VINCENT COURT CENTEREACH, NY 11720",[object Object],[object Object],[object Object],2025-09-15 12:26:22,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1000081,200,true,,0.2421703338623047
1000093,1000093,CARRIER,ACTIVE,None,,03/03/2003,"9,000 (2002)",NOT AUTHORIZED,MC-422829,--,1,,1,ALSEY & JUDY CHANDLER,CHANDLER TRUCKING,"501 E 5TH AVE YUMA, CO 80759",(970) 848-2003,"501 E 5TH AVE YUMA, CO 80759",[object Object],[object Object],[object Object],2025-09-15 12:26:34,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1000093,200,true,,0.24907398223876953
1000095,1000095,CARRIER,ACTIVE,None,,05/19/2025,"22,000 (2024)",NOT AUTHORIZED,,89-618-23,3,,2,J W JUNG SEED CO,JUNG SEED,"335 S HIGH STREET RANDOLPH, WI 53957",(920) 326-3121,"335 S HIGH STREET RANDOLPH, WI 53957",[object Object],[object Object],[object Object],2025-09-15 12:26:47,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1000095,200,true,,0.2656857967376709
1000096,1000096,CARRIER,ACTIVE,None,,09/02/2025,"14,471 (2025)",NOT AUTHORIZED,,18-696-823,1,,1,TULL BROTHERS INC,,"66 NEW BRITAIN AVE ROCKY HILL, CT 06067",(860) 563-9328,"P O BOX 189 ROCKY HILL, CT 06067",[object Object],[object Object],[object Object],2025-09-15 12:27:00,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1000096,200,true,,0.2920823097229004
1000098,1000098,CARRIER,ACTIVE,None,,01/23/2002,"10,000 (2001)",NOT AUTHORIZED,,--,1,,1,CLINT L REFFEL,LITTLE REFFEL TRUCKING,"1355 MOSS ST GOLDEN, CO 80401",(303) 940-8696,"1355 MOSS ST GOLDEN, CO 80401",[object Object],[object Object],[object Object],2025-09-15 12:27:13,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1000098,200,true,,0.24999260902404785
1000099,1000099,CARRIER,ACTIVE,None,,09/08/2005,,NOT AUTHORIZED,MC-421814,--,3,,4,MAREX ENTERPRISES INC,AAA PROFESSIONAL MOVERS,"424 MASCOTE ST PORT CHARLOTTE, FL 33954",(941) 377-1412,"1340 FRASER PINE BLVD SARASOTA, FL 34240",[object Object],[object Object],[object Object],2025-09-15 12:27:25,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1000099,200,true,,0.24368023872375488
1000101,1000101,CARRIER,ACTIVE,None,,08/15/2001,"15,000 (2000)",NOT AUTHORIZED,,--,1,,1,RICHARD J RYAN,,"221 E DODGE WYOCENA, WI 53969",(920) 429-2098,"221 E DODGE WYOCENA, WI 53969",[object Object],[object Object],[object Object],2025-09-15 12:27:38,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1000101,200,true,,0.24223875999450684
1000102,1000102,CARRIER,ACTIVE,None,,09/02/2025,"96,000 (2024)",NOT AUTHORIZED,,--,32,,47,CATHOLIC CEMETERIES ASSOCIATION OFARCHDIOCESE OF HARTFORD INC,,"700 MIDDLETOWN AVENUE NORTH HAVEN, CT 06473",(203) 239-2557,"700 MIDDLETOWN AVENUE NORTH HAVEN, CT 06473",[object Object],[object Object],[object Object],2025-09-15 12:27:51,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1000102,200,true,,0.2783653736114502
1000105,1000105,CARRIER,ACTIVE,None,,04/21/2025,"6,720 (2024)",AUTHORIZED FOR Property,MC-423287,--,1,,1,RAUL GALVAN,GALVAN TRUCKING,"46 MIDWAY RD RIO GRANDE CITY, TX 78582",(956) 655-6986,"PO BOX 61 GARCIASVILLE, TX 78547",[object Object],[object Object],[object Object],2025-09-15 12:28:04,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1000105,200,true,,0.24904298782348633
1000109,1000109,CARRIER,ACTIVE,None,,11/25/2008,,NOT AUTHORIZED,,--,1,,1,FREEBIRD TRUCKING LLC,,"W11952 MORIAH ROAD COLUMBUS, WI 53925-8995",(920) 623-5537,"W11952 MORIAH ROAD COLUMBUS, WI 53925-8995",[object Object],[object Object],[object Object],2025-09-15 12:28:17,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1000109,200,true,,0.26256704330444336
100011,100011,CARRIER,ACTIVE,None,,01/07/2025,"5,419,587 (2024)",AUTHORIZED FOR Property,MC-296088,11-831-6214,87,,75,HYDRITE TRANSPORTATION CO,HYDRITE,"17385 GOLF PKY BROOKFIELD, WI 53045",(262) 792-1450,"17385 GOLF PKWY BROOKFIELD, WI 53045",[object Object],[object Object],[object Object],2025-09-15 12:28:29,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=100011,200,true,,0.25307297706604004
1000120,1000120,CARRIER,ACTIVE,None,,02/01/2001,,NOT AUTHORIZED,,--,2,,1,RANDAL MALISCH,LODI TREE SERVICE,"W10236 HWY K LODI, WI 53555",(608) 592-3568,"W10236 HWY K LODI, WI 53555",[object Object],[object Object],[object Object],2025-09-15 12:28:42,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1000120,200,true,,0.23502588272094727
1000122,1000122,CARRIER,ACTIVE,None,,01/23/2002,"10,000 (2001)",NOT AUTHORIZED,,--,2,,3,LANDSCAPE DESIGN & CONSTRUCTION INC,,"614 19 1/2 RD GRAND JUNCTION, CO 81503",(970) 245-3960,"614 19 1/2 RD GRAND JUNCTION, CO 81503",[object Object],[object Object],[object Object],2025-09-15 12:28:55,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1000122,200,true,,0.25129103660583496
1000123,1000123,CARRIER,ACTIVE,None,,08/14/2001,"70,000 (2000)",NOT AUTHORIZED,,--,6,,7,JENSEN POURED WALLS INC,,"204 WATERLOO STREET COLUMBUS, WI 53925",(920) 623-3162,"204 WATERLOO STREET COLUMBUS, WI 53925",[object Object],[object Object],[object Object],2025-09-15 12:29:08,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1000123,200,true,,0.27979469299316406
1000129,1000129,CARRIER,ACTIVE,None,,01/23/2002,"10,000 (2001)",NOT AUTHORIZED,,--,1,,1,ALL AROUND EXCAVATING,,"369 OLD STATE RD BAILEY, CO 80421",(303) 838-0928,"369 OLD STATE RD BAILEY, CO 80421",[object Object],[object Object],[object Object],2025-09-15 12:29:21,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1000129,200,true,,0.24974584579467773
1000130,1000130,CARRIER,ACTIVE,None,,11/05/2023,"83,000 (2022)",NOT AUTHORIZED,,--,2,,1,KEVIN M ROBINSON,,"3180 ROUTE 11 HOP BOTTOM, PA 18824",(570) 499-8012,"3180 ROUTE 11 HOP BOTTOM, PA 18824",[object Object],[object Object],[object Object],2025-09-15 12:29:34,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1000130,200,true,,0.24877071380615234
1000132,1000132,CARRIER,Inactive USDOT Number per 49 CFR 390.19(b)(4); Biennial update of MCS-150 data not completed,None,,04/12/2023,"251,446 (2016)",NOT AUTHORIZED,MC-423805,--,1,,2,DEWITT TRUCKING LLC,,"5364 BLACKBERRY RD SARCOXIE, MO 64862",(405) 283-0698,"PO BOX 720655 OKLAHOMA CITY, OK 73172",[object Object],[object Object],[object Object],2025-09-15 12:29:46,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1000132,200,true,,0.2528703212738037
1000133,1000133,CARRIER,ACTIVE,None,,02/14/2025,"70,951 (2024)",AUTHORIZED FOR Property,MC-425186,--,1,,1,SONORA TRUCKING LLC,,"8311 S EGYPTIAN DR TUCSON, AZ 85747",(520) 940-2874,"8311 S EGYPTIAN DR TUCSON, AZ 85747",[object Object],[object Object],[object Object],2025-09-15 12:29:59,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1000133,200,true,,0.25569796562194824
1000139,1000139,CARRIER,ACTIVE,None,,01/23/2002,"60,000 (2001)",NOT AUTHORIZED,,--,1,,1,CHORDBUSTER TRUCKING INC,,"8408 W TOLLER AVE LITTLETON, CO 80128",(303) 932-6161,"8408 W TOLLER AVE LITTLETON, CO 80128",[object Object],[object Object],[object Object],2025-09-15 12:30:11,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1000139,200,true,,0.26669907569885254
1000140,1000140,CARRIER,ACTIVE,None,,07/20/2001,"30,000 (2000)",NOT AUTHORIZED,,--,2,,1,GENE R ELSING,ELSING SEPTIC SERVICE,"W7892 LOVELAND ROAD POYNETTE, WI 53955-0043",(608) 635-2835,"P O BOX 43 POYNETTE, WI 53955-0043",[object Object],[object Object],[object Object],2025-09-15 12:30:24,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1000140,200,true,,0.26941537857055664
1000143,1000143,CARRIER,ACTIVE,None,,01/23/2002,"35,000 (2001)",NOT AUTHORIZED,,--,10,,3,AMERICAN CONCRETE & GRAVEL LLC,,"200 INDUSTRIAL PARK RD GUNNISON, CO 81230",(970) 641-2966,"200 INDUSTRIAL PARK RD GUNNISON, CO 81230",[object Object],[object Object],[object Object],2025-09-15 12:30:36,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1000143,200,true,,0.2597939968109131
1000144,1000144,CARRIER,ACTIVE,None,,08/15/2001,"60,000 (2000)",NOT AUTHORIZED,,--,2,,3,D L WINGERS INC,,"N4294 OAK GROVE DRIVE COLUMBUS, WI 53925",(920) 623-4756,"N4294 OAK GROVE DRIVE COLUMBUS, WI 53925",[object Object],[object Object],[object Object],2025-09-15 12:30:49,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1000144,200,true,,0.27283668518066406
1000147,1000147,CARRIER,ACTIVE,None,,07/22/2025,"200,000 (2025)",NOT AUTHORIZED,,--,5,,6,DOUGLASSVILLE AUTO BODY & SALES INC,,"1501 BEN FRANKLIN HWY DOUGLASSVILLE, PA 19518",(610) 326-0422,"1501 BEN FRANKLIN HWY DOUGLASSVILLE, PA 19518",[object Object],[object Object],[object Object],2025-09-15 12:31:02,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1000147,200,true,,0.2657041549682617
1000149,1000149,CARRIER,ACTIVE,None,,12/07/2024,"20,000 (2023)",NOT AUTHORIZED,,--,4,,4,CORDELL MEIDINGER,,"405 MAIN STREET NORTH HERREID, SD 57632",(605) 850-3591,"405 MAIN STREET NORTH HERREID, SD 57632",[object Object],[object Object],[object Object],2025-09-15 12:31:14,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1000149,200,true,,0.27846741676330566
1000155,1000155,CARRIER,ACTIVE,None,,01/14/2002,,NOT AUTHORIZED,,--,8,,8,J T HILL'S TRUCKING INC,,"11306 RHODINE ROAD RIVERVIEW, FL 33568-0307",(813) 677-3321,"POST OFFICE BOX 307 RIVERVIEW, FL 33568-0307",[object Object],[object Object],[object Object],2025-09-15 12:31:27,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1000155,200,true,,0.2589864730834961
1000156,1000156,CARRIER,ACTIVE,None,,06/26/2025,"95,662 (2024)",AUTHORIZED FOR Property,MC-417483,--,1,,1,9061-5477 QUEBEC INC,,"23 RUE BEAULIEU ST-ONESIME, PQ G0R 3W0",(450) 245-3664,"23 RUE BEAULIEU ST-ONESIME, PQ G0R 3W0",[object Object],[object Object],[object Object],2025-09-15 12:31:39,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1000156,200,true,,0.2623164653778076
1000158,1000158,CARRIER,ACTIVE,None,,11/20/2023,500 (2022),NOT AUTHORIZED,,--,1,,1,DAVE WOLFE ENTERPRISES INC,WOLFE ENTERPRISES,"235 WILLCOCKS ROAD MORDEN, MB R6M 0C3",(204) 822-4774,"235 WILLCOCKS ROAD MORDEN, MB R6M 0C3",[object Object],[object Object],[object Object],2025-09-15 12:31:51,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1000158,200,true,,0.2465348243713379
1000169,1000169,CARRIER,ACTIVE,None,,09/21/2023,500 (2023),NOT AUTHORIZED,,--,2,,2,CHET'S LANDSCAPING & SNOWPLOWING LLC,,"369A ELLA GRASSO TURNPIKE WINDSOR LOCKS, CT 06096",(860) 818-3083,"369A ELLA GRASSO TURNPIKE WINDSOR LOCKS, CT 06096",[object Object],[object Object],[object Object],2025-09-15 12:32:04,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1000169,200,true,,0.255418062210083
1000171,1000171,CARRIER,ACTIVE,None,,,,NOT AUTHORIZED,,--,1,,1,EARL BLANKENSHIP,EARLS CONSTRUCTION,"304 MAIN ST SIMPSONVILLE, KY 40067",(502) 722-9454,"304 MAIN ST SIMPSONVILLE, KY 40067",[object Object],[object Object],[object Object],2025-09-15 12:32:17,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1000171,200,true,,0.26155877113342285
1000172,1000172,CARRIER,Inactive USDOT Number per 49 CFR 390.19(b)(4); Biennial update of MCS-150 data not completed,None,,04/19/2023,"110,000 (2022)",NOT AUTHORIZED,,--,6,,6,LYTTLE UTILITIES INC,,"2210 E BELT BLVD RICHMOND, VA 23224",(804) 231-3426,"P O BOX 24205 RICHMOND, VA 23224",[object Object],[object Object],[object Object],2025-09-15 12:32:30,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1000172,200,true,,0.2640359401702881
1000174,1000174,CARRIER,ACTIVE,None,,02/27/2018,"15,000 (2017)",NOT AUTHORIZED,,--,1,,1,MOBILE WELD INC,,"8050 360TH STREET NORTH BRANCH, MN 55056",(612) 508-5395,"5080 360TH STREET NORTH BRANCH, MN 55056",[object Object],[object Object],[object Object],2025-09-15 12:32:43,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1000174,200,true,,0.26924872398376465
1000178,1000178,CARRIER,ACTIVE,None,,03/03/2025,"9,500 (2024)",NOT AUTHORIZED,,--,2,,1,LEMASTER TOWING & GARAGE INC,,"4021 FALCON RD SALYERSVILLE, KY 41465",(606) 349-1539,"3570 FALCON RD SALYERVILLE, KY 41465",[object Object],[object Object],[object Object],2025-09-15 12:32:56,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1000178,200,true,,0.2518885135650635
1000180,1000180,CARRIER,ACTIVE,None,,01/18/2002,,NOT AUTHORIZED,,--,2,,2,JOHN T HOLLAND,,"77 77 BRANHAMS CT PRESTONSBURG, KY 41653",(606) 886-9248,"77 77 BRANHAMS CT PRESTONSBURG, KY 41653",[object Object],[object Object],[object Object],2025-09-15 12:33:08,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1000180,200,true,,0.2544572353363037
1000181,1000181,CARRIER,ACTIVE,None,,01/23/2002,"5,000 (2001)",NOT AUTHORIZED,,--,1,,1,JOHN W SWANSON,SWANSON FARMS,"804 SCARLETT DRIVE RAWLINS, WY 82301",(307) 324-8802,"PO BOX 762 RAWLINS, WY 82301",[object Object],[object Object],[object Object],2025-09-15 12:33:21,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1000181,200,true,,0.26737475395202637
1000182,1000182,CARRIER,ACTIVE,None,,07/25/2025,"25,328 (2024)",AUTHORIZED FOR Property,MX-425823,--,4,,2,JESUS ALBERTO RUIZ VIGIL,,"SAN PABLO 254 SALTILLO, CH 25049",(844) 324-4520,"SAN PABLO 254 SALTILLO, CH 25049",[object Object],[object Object],[object Object],2025-09-15 12:33:33,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1000182,200,true,,0.2501096725463867
